LAP3,51056,LAP3,leucine aminopeptidase 3 [Source:HGNC Sy...
LGALS3BP,3959,LGALS3BP,galectin 3 binding protein [Source:HGNC ...
LPAR6,10161,LPAR6,lysophosphatidic acid receptor 6 [Source...
LY6E,4061,LY6E,lymphocyte antigen 6 family member E [So...
MOV10,4343,MOV10,Mov10 RISC complex RNA helicase [Source:...
MX1,4599,MX1,MX dynamin like GTPase 1 [Source:HGNC Sy...
NCOA7,135112,NCOA7,nuclear receptor coactivator 7 [Source:H...
NMI,9111,NMI,N-myc and STAT interactor [Source:HGNC S...
NUB1,51667,NUB1,negative regulator of ubiquitin like pro...
OAS1,4938,OAS1,2'-5'-oligoadenylate synthetase 1 [Sourc...
OASL,8638,OASL,2'-5'-oligoadenylate synthetase like [So...
OGFR,11054,OGFR,opioid growth factor receptor [Source:HG...
PARP12,64761,PARP12,poly(ADP-ribose) polymerase family membe...
PARP14,54625,PARP14,poly(ADP-ribose) polymerase family membe...
PARP9,83666,PARP9,poly(ADP-ribose) polymerase family membe...
PLSCR1,5359,PLSCR1,phospholipid scramblase 1 [Source:HGNC S...
PNPT1,87178,PNPT1,polyribonucleotide nucleotidyltransferas...
PRIC285,85441,HELZ2,helicase with zinc finger 2 [Source:HGNC...
PROCR,10544,PROCR,protein C receptor [Source:HGNC Symbol;A...
PSMA3,5684,PSMA3,proteasome 20S subunit alpha 3 [Source:H...
PSMB8,5696,PSMB8,proteasome 20S subunit beta 8 [Source:HG...
PSMB9,5698,PSMB9,proteasome 20S subunit beta 9 [Source:HG...
PSME1,5720,PSME1,proteasome activator subunit 1 [Source:H...
PSME2,5721,PSME2,proteasome activator subunit 2 [Source:H...
RIPK2,8767,RIPK2,receptor interacting serine/threonine ki...
RNF31,55072,RNF31,ring finger protein 31 [Source:HGNC Symb...
RSAD2,91543,RSAD2,radical S-adenosyl methionine domain con...
RTP4,64108,RTP4,receptor transporter protein 4 [Source:H...
SAMD9,54809,SAMD9,sterile alpha motif domain containing 9 ...
SAMD9L,219285,SAMD9L,sterile alpha motif domain containing 9 ...
SELL,6402,SELL,selectin L [Source:HGNC Symbol;Acc:HGNC:...
SLC25A28,81894,SLC25A28,solute carrier family 25 member 28 [Sour...
SP110,3431,SP110,SP110 nuclear body protein [Source:HGNC ...
STAT2,6773,STAT2,signal transducer and activator of trans...
TAP1,6890,TAP1,"transporter 1, ATP binding cassette subf..."
TDRD7,23424,TDRD7,tudor domain containing 7 [Source:HGNC S...
TMEM140,55281,TMEM140,transmembrane protein 140 [Source:HGNC S...
TRAFD1,10906,TRAFD1,TRAF-type zinc finger domain containing ...
TRIM14,9830,TRIM14,tripartite motif containing 14 [Source:H...
TRIM21,6737,TRIM21,tripartite motif containing 21 [Source:H...
TRIM25,7706,TRIM25,tripartite motif containing 25 [Source:H...
TRIM26,7726,TRIM26,tripartite motif containing 26 [Source:H...
TRIM5,85363,TRIM5,tripartite motif containing 5 [Source:HG...
TXNIP,10628,TXNIP,thioredoxin interacting protein [Source:...
UBA7,7318,UBA7,ubiquitin like modifier activating enzym...
UBE2L6,9246,UBE2L6,ubiquitin conjugating enzyme E2 L6 [Sour...
USP18,11274,USP18,ubiquitin specific peptidase 18 [Source:...
WARS,7453,WARS1,tryptophanyl-tRNA synthetase 1 [Source:H...
